confidence,edge_id,example_title,provenance,provider_version,relation,source_document,source_path,source_type,support_count,target_path,target_type,annotator_1_valid,annotator_2_valid,notes
0.55,ref:aws_sagemaker_model.security_group_ids->aws_security_group.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,security_group_ids,aws_sagemaker_model,1,id,aws_security_group,,,
0.55,ref:aws_ram_principal_association.->aws_ram_resource_share.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ram_principal_association,1,id,aws_ram_resource_share,,,
0.55,ref:aws_cognito_user_pool_domain.->aws_acm_certificate.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_cognito_user_pool_domain,1,id,aws_acm_certificate,,,
0.55,ref:aws_dynamodb_global_table.->aws_dynamodb_table.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_dynamodb_global_table,1,id,aws_dynamodb_table,,,
0.55,ref:aws_network_interface_attachment.->aws_network_interface.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_network_interface_attachment,1,id,aws_network_interface,,,
0.55,ref:aws_cognito_managed_user_pool_client.->aws_iam_policy_document.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_cognito_managed_user_pool_client,1,id,aws_iam_policy_document,,,
0.55,ref:aws_api_gateway_usage_plan.->aws_api_gateway_deployment.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_api_gateway_usage_plan,1,id,aws_api_gateway_deployment,,,
0.55,ref:aws_sesv2_email_identity_feedback_attributes.->aws_sesv2_email_identity.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_sesv2_email_identity_feedback_attributes,1,id,aws_sesv2_email_identity,,,
0.55,ref:aws_opensearch_inbound_connection_accepter.->aws_caller_identity.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_opensearch_inbound_connection_accepter,1,id,aws_caller_identity,,,
0.55,ref:aws_iam_principal_policy_simulation.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_iam_principal_policy_simulation,1,id,aws_s3_bucket,,,
0.55,ref:aws_opensearch_domain_saml_options.->aws_opensearch_domain.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_opensearch_domain_saml_options,1,id,aws_opensearch_domain,,,
0.55,ref:aws_quicksight_data_source.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_quicksight_data_source,1,id,aws_s3_bucket,,,
0.55,ref:aws_appmesh_route.->aws_appmesh_mesh.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_appmesh_route,1,id,aws_appmesh_mesh,,,
0.55,ref:aws_cognito_user_pool.kms_key_id->aws_kms_key.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,kms_key_id,aws_cognito_user_pool,1,id,aws_kms_key,,,
0.55,ref:aws_networkfirewall_rule_group.->aws_ec2_managed_prefix_list.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_networkfirewall_rule_group,1,id,aws_ec2_managed_prefix_list,,,
0.55,ref:aws_elasticsearch_domain.kms_key_id->aws_kms_key.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,kms_key_id,aws_elasticsearch_domain,1,id,aws_kms_key,,,
0.55,ref:aws_opsworks_haproxy_layer.->aws_opsworks_stack.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_opsworks_haproxy_layer,1,id,aws_opsworks_stack,,,
0.55,ref:aws_quicksight_data_source.role_arn->aws_iam_role.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,role_arn,aws_quicksight_data_source,1,id,aws_iam_role,,,
0.55,ref:aws_macie2_classification_job.->aws_macie2_account.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_macie2_classification_job,1,id,aws_macie2_account,,,
0.55,ref:aws_lambda_permission.->aws_lambda_function.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_lambda_permission,1,id,aws_lambda_function,,,
0.55,ref:aws_vpc_endpoint_policy.->aws_vpc.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_vpc_endpoint_policy,1,id,aws_vpc,,,
0.55,ref:aws_fsx_data_repository_association.->aws_subnet.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_fsx_data_repository_association,1,id,aws_subnet,,,
0.55,ref:aws_appsync_function.api_id->aws_apigatewayv2_api.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,api_id,aws_appsync_function,1,id,aws_apigatewayv2_api,,,
0.55,ref:aws_ssoadmin_customer_managed_policy_attachment.->aws_iam_policy.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ssoadmin_customer_managed_policy_attachment,1,id,aws_iam_policy,,,
0.55,ref:aws_msk_scram_secret_association.->aws_secretsmanager_secret.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_msk_scram_secret_association,1,id,aws_secretsmanager_secret,,,
0.55,ref:aws_docdb_cluster_snapshot.->aws_docdb_cluster.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_docdb_cluster_snapshot,1,id,aws_docdb_cluster,,,
0.55,ref:aws_ssm_parameter.key_id->aws_kms_key.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,key_id,aws_ssm_parameter,1,id,aws_kms_key,,,
0.55,ref:aws_ecs_container_definition.->aws_ecs_task_definition.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ecs_container_definition,1,id,aws_ecs_task_definition,,,
0.55,ref:aws_fsx_ontap_file_system.->aws_subnet.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_fsx_ontap_file_system,1,id,aws_subnet,,,
0.55,ref:aws_dataexchange_revision.->aws_dataexchange_data_set.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_dataexchange_revision,1,id,aws_dataexchange_data_set,,,
0.55,ref:aws_db_proxy_target.->aws_db_proxy_default_target_group.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_db_proxy_target,1,id,aws_db_proxy_default_target_group,,,
0.55,ref:aws_iam_user.->aws_iam_policy_document.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_iam_user,1,id,aws_iam_policy_document,,,
0.55,ref:aws_sagemaker_workforce.->aws_cognito_user_pool.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_sagemaker_workforce,1,id,aws_cognito_user_pool,,,
0.55,ref:aws_ec2_transit_gateway_multicast_domain.->aws_ec2_transit_gateway_vpc_attachment.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ec2_transit_gateway_multicast_domain,1,id,aws_ec2_transit_gateway_vpc_attachment,,,
0.55,ref:aws_dms_replication_subnet_group.subnet_ids->aws_subnet.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,subnet_ids,aws_dms_replication_subnet_group,1,id,aws_subnet,,,
0.55,ref:aws_appsync_datasource.->aws_dynamodb_table.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_appsync_datasource,1,id,aws_dynamodb_table,,,
0.55,ref:aws_sagemaker_domain.->aws_iam_policy_document.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_sagemaker_domain,1,id,aws_iam_policy_document,,,
0.55,ref:aws_appstream_fleet_stack_association.->aws_appstream_fleet.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_appstream_fleet_stack_association,1,id,aws_appstream_fleet,,,
0.55,ref:aws_lb_listener.->aws_cognito_user_pool_domain.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_lb_listener,1,id,aws_cognito_user_pool_domain,,,
0.55,ref:aws_glue_trigger.->aws_glue_job.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_glue_trigger,1,id,aws_glue_job,,,
0.55,ref:aws_guardduty_threatintelset.->aws_s3_object.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_guardduty_threatintelset,1,id,aws_s3_object,,,
0.55,ref:aws_detective_invitation_accepter.->aws_detective_graph.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_detective_invitation_accepter,1,id,aws_detective_graph,,,
0.55,ref:aws_inspector_assessment_template.->aws_sns_topic.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_inspector_assessment_template,1,id,aws_sns_topic,,,
0.55,ref:aws_vpc_peering_connection_options.->aws_vpc_peering_connection.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_vpc_peering_connection_options,1,id,aws_vpc_peering_connection,,,
0.55,ref:aws_vpc_endpoint.->aws_lb.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_vpc_endpoint,1,id,aws_lb,,,
0.55,ref:aws_iam_group_policy_attachment.policy_arn->aws_iam_policy.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,policy_arn,aws_iam_group_policy_attachment,1,id,aws_iam_policy,,,
0.55,ref:aws_s3control_access_grant.->aws_s3control_access_grants_location.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_s3control_access_grant,1,id,aws_s3control_access_grants_location,,,
